F001 字符标识：Unicode码点U+6C34；UTF-8编码E6 B0 B4
F002 化学式：H₂O，分子量18.01528
F080 溶解氧饱和度：20°C,1atm时约9.1mg/L
F081 摩尔电导率极限（25°C）：Λ°(H₂O)≈5.5×10⁻⁶S·m²/mol
F082 极性参数（Reichardt染料）：ET(30)≈63.1kcal/mol
F083 汉森溶解度参数：δd=15.5,δp=16.0,δh=42.3(MPa)¹/²
F084 折射率色散（Abbe数）：约55
F085 双折射：无（各向同性液体）
F086 旋光性：无（非手性）
F087 磁旋光性（Faraday效应）：Verdet常数约5×10⁻⁶rad/(T·m)
F088 电光效应（Kerr常数）：约4×10⁻¹⁴m/V²
F089 超声吸收系数：20°C时约2.5×10⁻¹⁵s²/m
F090 空化阈值：理论约30MPa，实际因杂质低至0.1MPa
F091 冰点下过冷极限：纯水无晶核可过冷至-40°C
F092 玻璃态转变温度：约-137°C
F093 超临界点以上行为：密度可连续变化，溶解性类似有机溶剂
F094 同位素分馏系数（蒸发）：¹⁶O优先蒸发
F095 核磁共振化学位移：¹HNMRδ≈4.8ppm
F096 拉曼峰温度依赖：O-H伸缩峰位随温度升高向低频移动
F097 氧K边X射线吸收：约535eV（液态）
F098 电子能量损失谱：在~21eV有宽峰
F099 太赫兹吸收：在50-200cm⁻¹有多个宽峰
F100 冰Ih晶格参数：a=0.452nm,c=0.739nm
F101 密度反常：在4℃时密度最大（约1g/cm³），低于或高于此温度，体积均会膨胀
F102 冰的异常膨胀：结冰时体积膨胀约9%，导致冰的密度（约0.917g/cm³）小于液态水而能浮于水面
F103 相图复杂性：固相图极其复杂，目前已知至少20种不同结构的冰晶相（从Ih到XX）
F104 超离子态冰：在极高温度和压力下，氧原子形成固体晶格，而氢原子可在其中自由流动，称为"超离子态冰"或"冰XVIII"
F105 核量子效应：氢核的量子隧穿效应显著，影响氢键强度，导致轻水(H₂O)与重水(D₂O)的性质出现明显差异
F106 超临界水：超过临界点(374°C,22.1MPa)，水成为一种兼具气态与液态特性的稠密流体，溶解力极强
F107 氢键网络动态：液态水中氢键在飞秒级（10⁻¹⁵秒）内不断断裂与重组，形成瞬息万变的动态网络
F108 水的蓝色之谜：纯净水因分子振动吸收红光而呈现极淡的蓝色，并非仅反射天空
F109 溶剂化电子：水能捕获并稳定自由电子，形成蓝色的"溶剂化电子"，这是已知最强的还原剂之一
F110 粘度的压力反常：在低温下，增加压力反而会降低水的粘度，这与其他液体相反
F111 量子生物学效应：光合作用中，水分子裂解释放氧气，其高效的量子能量转移机制是关键
F112 生命起源的物理催化：海底碱性热液喷口提供了理想的物理化学梯度，高温水流与低温海水的温差驱动了最早期生命的能量代谢循环
F113 界面水：靠近细胞膜、DNA或纳米材料表面的界面水，会形成高度有序的层状结构，介电常数、粘度均发生巨大改变
F114 量子隧穿与同位素效应：氢原子的量子隧穿效应使水分子能跳过经典物理的"能量壁垒"进行反应，而重水(D₂O)反应速率显著降低
F115 记忆效应（科学争议）：有理论假说认为，即使溶质被稀释殆尽，水分子团簇的结构也能保留曾与溶质相互作用的信息
F116 星际水循环：地球之水并非一潭死水，高层大气中的水分子被分解逃逸，同时富含水的彗星、小行星带来"天外之水"
F117 流体包裹体：古老矿物中被困的微小水珠，是研究数十亿年前古海洋的直接样品
F118 高比热容：水的比热容是所有常见固体和液体中最大的之一（约4.18J/(g·K)），使地球气候得以稳定
F119 层流与湍流：水的流动状态可用雷诺数（Re）精确界定，体现了水从秩序到混沌的辩证演变
F120 贝尔纳对流：从底部均匀加热一薄层水，当温差达到临界值，水中会自发形成规则的六角形对流图案
F121 水合质子的量子隧穿：在酸性水中，质子(H⁺)通过"隧穿效应"在水分子间迁移，大幅提高了迁移速率
F122 金属态水：理论预测，在超过5000GPa的极端高压下，水会变成一种能导电的"金属态"，可能存在于木星等巨行星内部
F123 水分子间的量子纠缠：相邻水分子间可能存在持续的量子相干和量子纠缠现象，为生命活动中的高效能量传递提供了全新的解释维度
F124 调节恒星形成：在宇宙分子云中，水分子通过辐射远红外线，帮助星际气体冷却到足以坍缩形成新恒星的温度
F125 有序水（EZWater）：在亲水界面（如细胞膜）附近，水分子会自发排齐，形成一层带负电荷、结构高度有序的"排斥区"
F126 水的第四相理论：该理论认为，EZ水是独立于固态、液态和气态的"第四相水"，其行为类似于液晶，能存储能量和信息
F127 水的记忆假说：即使将生物活性物质在水中稀释到不存在一个分子的程度，水仍能表现出原物质的生物学效应
F128 宇宙水循环：通过追踪水的不同同位素比例，可以追溯从冷分子云到原行星盘，最终到行星海洋的完整物质演化链条
F129 水与暗能量：一种名为"变色龙"的暗能量理论模型，其机制被认为与水的相变条件存在奇妙的数学相似性
F130 水的分子轨道复杂性：水分子并非简单的O-H键，其八个价电子存在于四个分子轨道中
F131 超强电离能力：在超过100GPa的极端高压下，水会自发地电离，成为一种无需外加酸碱的"自发电解质"
F132 水的"冰火两重天"：在极低气压和特定温度下，水会同时发生沸腾和结冰，展示了水在三相点附近奇妙的热力学行为
F133 双重玻璃态：水可以被制成不止一种，而是两种不同的玻璃态冰——低密度无定形冰(LDA)和高密度无定形冰(HDA)
F134 拉曼光谱的温度指纹：通过分析不同温度下水的O-H伸缩振动拉曼峰，可精确解析液态水中不同氢键构型的分布
F135 等温压缩系数：25°C时，水的等温压缩系数约为4.5×10⁻¹⁰Pa⁻¹
F136 等压膨胀系数：在4°C时为零，低于4°C时为负值，高于4°C时为正值
F137 表面张力温度依赖性：温度越高，表面张力越低，其温度系数约为-0.16mN/(m·K)
F138 粘度压力依赖性：水的粘度会随着压力的增加而略有降低，而非升高
F139 固态密度低于液态：其固液相变时体积的异常膨胀（约9%）源于氢键形成的低密度有序晶体结构
F140 氢键的协同效应：当一个氢键形成时，它会促使附近的水分子更容易形成更多有序的氢键
F141 氢键的键能：单个液态水分子间氢键的解离能约为21kJ/mol
F142 冰的异常熔点线：增加压力会降低冰的熔点，这是冰密度小于水密度的直接后果
F143 水的剪切稀化：在强剪切力作用下（如在纳米通道中），其表观粘度会降低，展现出非牛顿流体特性
F144 疏水水合作用：非极性分子被水包围时，水分子被迫在其表面形成一个更有序的"笼状"结构
F145 水的活化能：水分子在氢键网络中进行旋转和位移运动，需要克服约18-20kJ/mol的能量壁垒
F146 水与蛋白质的"焓-熵补偿"：形成强键（有利焓变）的同时，会极大限制水分子的运动（不利熵变），反之亦然
F147 水的远紫外光谱：在远紫外区(<180nm)有连续的强吸收带
F148 重水的毒性：当体内重水浓度超过25%时，细胞分裂等关键生命过程将无法正常进行
F149 水通道蛋白的速率：水分子通过细胞膜上专门的水通道蛋白（如AQP1）的速率极快，每秒可传输高达30亿个水分子
F150 氢氧同位素分馏的古气候意义：通过分析地质沉积物中碳酸钙的δ¹⁸O值，可精确重建过去数亿年来的全球古温度变化
F151 声致发光：在特定频率的高强度声波作用下，液体中的微小气泡在坍缩瞬间发出短暂而强烈的闪光
F152 水的标准摩尔生成焓：在标准状态下，由氢气和氧气反应生成1摩尔液态水所释放的能量为-285.83kJ/mol
F153 介电常数对电场频率的依赖：随着频率升高至微波及红外区域，介电常数会呈阶梯式下降
F154 热容对温度的依赖：液态水的比热容在约35°C时出现一个微小的最低值，之后随温度升高而缓慢增加
F155 水合作用层：任何离子或极性分子溶于水中，都会被一层或多层水分子紧密包围
F156 爱因斯坦-斯托克斯关系在水中的适用边界：在水合离子等小尺度领域，需大幅修正
F157 布朗运动的精确描述：其位移的均方根与时间、温度及水的粘度之间遵循精确的斯托克斯-爱因斯坦方程
F158 水的光解作用：波长小于242nm的紫外光可将水分子分解为氢自由基和羟基自由基
F159 水与诺贝尔奖：2003年阿格雷因发现水通道蛋白而获奖
F160 海底热液喷口生态系统：完全不依赖阳光的生态系统，以热液喷口为中心繁衍生息
F161 质子的隧穿效应：在水分子间，质子(H⁺)并非简单扩散，而是通过"量子隧穿"效应快速传递
F162 巨行星内部的金属态水：这种金属态水极有可能存在于木星、土星等气态巨行星的深层内部
F163 硅酸盐矿物中的水：水也大量储存在地幔的硅酸盐矿物中，以羟基(OH⁻)的形式存在
F164 蛇纹石化反应：水与地幔岩石发生蛇纹石化反应，将水分子锁进矿物的晶格结构
F165 水的超深俯冲：通过板块俯冲，地表的水能被带入地下数百公里的地幔深处
F166 水与宇宙尘埃：在星际空间中，水分子凝结在微小的尘埃颗粒表面，形成冰幔
F167 原行星盘中的水：在年轻恒星周围的气体和尘埃盘中，水以冰或蒸汽的形式大量存在
F168 彗星与地球水：对彗星水同位素比例的探测表明，部分地球水可能来源于数十亿年前的彗星撞击
F169 水的医疗应用：水在水疗、透析和激光手术中均有不可替代的应用
F170 水的化学合成角色：水本身就是反应物或产物，其浓度变化遵循勒夏特列原理
F171 水在食品科学：水分活度(Aw)直接决定了微生物的生长能力和食品的保质期
F172 水的流体动力学空化：空化气泡溃灭时产生强大微射流和冲击波
F173 水的静电压电特性：强限域下的准二维水层中，压电效应被显著放大
F174 水的热力学状态方程：IAPWS-95是描述普通水在极宽温度和压力范围内热力学性质的国际标准状态方程
F175 动力粘度温度依赖性：20℃时为1.002mPa·s，100℃时降至0.282mPa·s
F176 表面张力温度依赖性：20℃时为72.8mN/m，临界点处降为零
F177 自扩散系数温度依赖性：25℃时约2.3×10⁻⁹m²/s，随温度升高而增大
F178 热导率温度依赖性：0℃时约0.561W/(m·K)，100℃时约0.679W/(m·K)
F179 等温压缩系数温度依赖性：在4℃时达到最小值，与密度最大值相对应
F180 热膨胀系数温度依赖性：在4℃时为零，低于4℃时为负值
F181 介电常数温度依赖性：0℃时约87.9，20℃时约80.1，100℃时约55.6
F182 离子积常数温度依赖性：25℃时为1.0×10⁻¹⁴，100℃时约为55×10⁻¹⁴
F183 溶度积的气压依赖性：遵循亨利定律，气体溶解度与液面上该气体的分压成正比
F184 粘度压力依赖性：在约100MPa时达到最低值，之后随压力增加而增大
F185 折射率温度依赖性：20℃时为1.3330，100℃时为1.3180
F186 折射率波长依赖性（色散）：随波长减小而增大（正常色散）
F187 声速温度依赖性：在约74℃时达到最大值约1555m/s
F188 声速压力依赖性：随压力增大而线性增加，压力系数约0.15m/(s·MPa)
F189 同位素效应-轻水与重水性质对比：重水密度、冰点、沸点、粘度均与轻水显著不同
F190 水合离子半径-斯托克斯半径：离子半径越小，水合层越紧密，斯托克斯半径越大
F191 电导率温度系数：从25℃到55℃，纯水电导率从0.055μS/cm上升到约0.17μS/cm
F192 超纯水电阻率理论极限：25℃时的理论电阻率为18.24MΩ·cm
F193 蒸发焓与温度：随温度升高而减小，在临界点处降为零
F194 凝固点降低常数：1.86K·kg/mol，是测定溶质分子量的经典方法
F195 沸点升高常数：0.512K·kg/mol
F196 渗透压公式：Π=iCRT，是理解生物体内水平衡的基础
F197 雷诺数与流态转换：Re<2300为层流，Re>4000为湍流
F198 水的自扩散系数在25℃时约为2.3×10⁻⁹m²/s
F199 水中H⁺的迁移率约为3.6×10⁻⁷m²/(V·s)，OH⁻约为2.0×10⁻⁷，远高于其他离子
F200 标准平均海水(SMOW)的δ¹⁸O=0‰，是同位素地球化学的全球基准
F201 标准平均海水(SMOW)的δD=0‰，与δ¹⁸O共同构成全球水循环的同位素示踪体系
F202 地球水圈总储量约为1.386×10⁹km³，其中海水占96.5%，淡水仅占2.5%
F203 水在大气中的平均停留时间约为9天，在海洋中约为3000年
F204 深层地下水和冰川的平均停留时间可达10000年
F205 水的宇宙相对丰度约为10⁻⁴（相对于氢原子数）
F206 星际水主要以固态冰形式存在（红外吸收3.1μm）
F207 冰Ih晶格参数为a=0.452nm,c=0.739nm，密度为0.917g/cm³
F208 在高压条件下，水至少可形成18种不同晶相的冰
F209 水的临界点密度约为322kg/m³
F210 水的蒸发焓在0℃时为2501J/g，在100℃时为2260J/g
F211 水的冰点随压力增加而降低（约0.0075℃/atm）
F212 水的沸点随压力升高而升高（约28℃/atm）
F213 水的折射率在可见光范围内随波长变化（1.333-1.342）
F214 海水盐度每增加1‰，折射率增加约1.7×10⁻⁴，沸点升高约0.05℃
F215 海水在盐度35‰时冰点约为-1.9℃
F216 在20℃和1atm条件下，水中溶解氧的饱和度约为9.1mg/L
F217 超纯水的理论电阻率在25℃时为18.24MΩ·cm
F218 Reichardt染料测定的水极性参数ET(30)≈63.1kcal/mol
F219 水的汉森溶解度参数为δd=15.5,δp=16.0,δh=42.3(MPa)¹/²
F220 水的阿贝数约为55
F221 水是各向同性液体，无双折射和旋光性
F222 水的Verdet常数约为5×10⁻⁶rad/(T·m)，Kerr常数约为4×10⁻¹⁴m/V²
F223 水的超声吸收系数在20℃时约为2.5×10⁻¹⁵s²/m
F224 水的空化阈值理论值约为30MPa，实际因杂质可低至0.1MPa
F225 纯水在无晶核条件下可过冷至-40℃，在极快速冷却下可在约-137℃转变为玻璃态
F226 超临界水对有机物的溶解性接近有机溶剂，但无机盐在其中的溶解度急剧下降
F227 水的蒸发过程中¹⁶O优先进入气相，这一分馏效应是古气候重建的核心原理
F228 水的¹HNMR化学位移约为4.8ppm（相对于TMS）
F229 水的O-H伸缩拉曼峰随温度升高向低频移动
F230 液态水的氧K边X射线吸收约在535eV
F231 水的电子能量损失谱在约21eV处呈现宽峰
F232 水在太赫兹波段（50-200cm⁻¹）存在多个宽吸收峰
F233 液态水每个水分子的自扩散系数约为2.3×10⁻⁹m²/s（25℃）
F234 水的介电松弛主过程在20℃时约为8.2ps
F235 水的摩尔体积在20℃时为18.02cm³/mol
F236 水的Joule-Thomson系数在0℃时约为-0.2K/MPa
F237 水的介电常数温度系数在20℃时约为-0.36/K
F238 海水盐度每增加1‰，水的粘度增加约0.5%
F239 水的密度在4℃时达到最大（0.99987g/cm³）
F240 冰的密度在0℃时为0.917g/cm³，比液态水小约9%
F241 水的比热容在20℃时为4.184J/(g·K)
F242 液态水中每个水分子平均形成约3.5个氢键，而固态冰(Ih)中为完美的4个。氢键的断裂与重组在室温下发生在飞秒至皮秒时间尺度内。
F243 水的偶极矩在气相中约为1.86Debye，而在液相中，由于极化效应，其有效偶极矩可增大到约2.6Debye。
F244 冰(Ih)的残余熵约为3.4J/(mol·K)，源于质子在水分子间多重无序排列。
F245 水的第二临界点假说认为，在极低温（约-45℃）和高压下，液态水存在两种不同结构——低密度液体(LDL)和高密度液体(HDL)，两者之间的相变终止于一个隐藏的"第二临界点"。
F246 在超冷液态水中，其热膨胀系数、等温压缩系数和热容均会随温度降低而急剧增大，表现出向临界点逼近的发散行为。
F247 水的玻璃化转变：当水以极快速率冷却（约10⁶K/s）时可避免结晶，在约-137℃转变为玻璃态（无定形冰）。
F248 水的均相成核极限：纯水在无任何杂质或容器壁影响下，可被过冷至约-40℃才开始自发结晶。
F249 在疏水表面附近，水分子倾向于形成更有序的、类似冰的低密度结构，其氢键网络比自由水中更完整，但熵更低。
F250 水分子的再取向动力学：液态水分子的OH键矢量再取向包含大角度跳跃和小角度扩散的复杂过程，其跳跃时间约在皮秒量级。
F251 氢键的协同效应：一个水分子的氢键形成会诱导其邻近水分子形成更多、更强的氢键。
F252 势能面图景：水分子间相互作用的势能面极为复杂，存在多个局部极小值，决定了水的动力学的异质性。
F253 离心力对水结构的影响：在超重力环境下，水的密度梯度可导致氢键网络发生可测量的变化。
F254 红外光谱的同位素效应：用氘(D)替换氢(H)后，水的O-H伸缩振动峰会大幅红移至O-D区域（约2500cm⁻¹）。
F255 水的四极矩：水分子具有一个显著的分子四极矩，源于其非球形的电荷分布。
F256 水的极化率各向异性：水分子对不同方向电场的响应能力不同，其极化率是各向异性的。
F257 水的等温压缩率与氢键结构的关系：水的等温压缩系数在低温下随温度降低而增大，这与大多数液体相反。
F258 水的声学双折射：在强剪切流或电场作用下，水分子的取向排列可导致水的声速出现各向异性。
F259 水的光学克尔效应：在强飞秒激光脉冲作用下，水分子的取向重新排列会产生瞬态的双折射现象。
F260 水的X射线发射光谱：可以探测氢键网络的电子结构信息，区分不同氢键构型的比例。
F261 水的电子结构计算：基于量子化学的从头算分子动力学(AIMD)模拟，可精确再现水的许多反常性质。
F262 界面水的异质性：在任何固-液或气-液界面处，水的结构、密度和氢键取向都会在1-2个分子层内发生剧烈变化。
F263 石墨烯-水界面的滑移长度：水在石墨烯等超疏水表面流动时，滑移长度可从数纳米到数十纳米不等。
F264 受限水的介电常数：在纳米级限域空间中的水，其静态介电常数远低于体相水，可降至约2-10。
F265 冰的晶界滑移：多晶冰在长期应力作用下，其晶界可发生缓慢滑移，这是冰川流动性的微观机制。
F266 水的摩擦起电：水从表面流过或水雾喷出时，因界面电荷分离可产生摩擦静电。
F267 溶解氧的浓度与海拔：水中饱和溶解氧浓度随海拔升高而降低。
F268 氢键交换动力学：水分子可与其他分子形成分子间氢键并发生交换，决定了溶液中的许多宏观动力学性质。
F269 水-冰界面的预熔现象：在冰点以下，冰的表面存在一层纳米厚度的液态水，解释了冰的滑溜性。
F270 压力对水结构的影响：在常温下对水施加数千大气压，可完全破坏氢键网络，将液态水转变为致密的无序高压形态。
F271 超离子态水的发现：2018年首次在实验室中产生并证实了"超离子态冰"，其中氧原子形成立方晶格，而氢原子如流体般在其中自由扩散。
F272 纳米气泡的异常稳定性：水中直径小于100纳米的纳米气泡，内部压力极高，但寿命远长于经典理论预测。
F273 水的光致电离：高能紫外光子可直接将电子从水分子中击出，产生水合电子，发生在亚皮秒时间尺度内。
F274 水的太赫兹吸收：水在太赫兹波段有很强的吸收，源于氢键网络的集体振动。
F275 水冰Ih的德拜温度：冰Ih的德拜温度约为192K，是描述晶格振动频谱特性的重要参数。
F276 冰的热导率的温度依赖性：冰Ih的热导率在0℃时约为2.18W/(m·K)，随温度降低而增大。
F277 水的氢键与生物分子识别：水分子在生物分子界面的氢键重排，为分子识别提供了关键的熵-焓补偿。
F278 水的电喷雾电离：电喷雾电离(ESI)质谱技术是蛋白质组学和代谢组学的核心技术。
F279 水的声致发光：高强度超声波在水中产生空化气泡，坍缩瞬间可产生高达5000K以上的高温并发出闪光。
F280 冰的晶种成核：水中加入极少量冰核蛋白或碘化银，可大幅提高冰的成核温度。
F281 水的同位素分离：可通过精馏、电解或激光激发等方法分离轻水和重水。
F282 地球内部水合矿物：如蛇纹石、水镁石等含水矿物，在板块俯冲时可将水带入地幔深处。
F283 水的冲击波物理：在强冲击波作用下，水会经历瞬间的绝热压缩，发生电离和分解。
F284 水在火星的历史：火星表面存在的干涸河谷和含水矿物，证明火星在数十亿年前曾拥有长期的液态水。
F285 木卫二与土卫二的冰下海洋：木卫二和土卫二的冰壳之下，极可能存在液态水海洋。
F286 水的医疗应用：水在水疗、透析和激光手术中均有不可替代的应用。
F287 水的化学合成角色：水本身就是反应物或产物，其浓度变化遵循勒夏特列原理。
F288 水在食品科学：水分活度(Aw)直接决定了微生物的生长能力和食品的保质期。
F289 水的流体动力学空化：空化气泡溃灭时产生强大微射流和冲击波。
F290 水的静电压电特性：强限域下的准二维水层中，压电效应被显著放大。
F291 水的热力学状态方程：IAPWS-95是描述普通水在极宽温度和压力范围内热力学性质的国际标准状态方程。
F292 动力粘度温度依赖性：20℃时为1.002mPa·s，100℃时降至0.282mPa·s。
F293 表面张力温度依赖性：20℃时为72.8mN/m，临界点处降为零。
F294 自扩散系数温度依赖性：25℃时约2.3×10⁻⁹m²/s，随温度升高而增大。
F295 热导率温度依赖性：0℃时约0.561W/(m·K)，100℃时约0.679W/(m·K)。
F296 等温压缩系数温度依赖性：在4℃时达到最小值，与密度最大值相对应。
F297 热膨胀系数温度依赖性：在4℃时为零，低于4℃时为负值。
F298 介电常数温度依赖性：0℃时约87.9，20℃时约80.1，100℃时约55.6。
F299 离子积常数温度依赖性：25℃时为1.0×10⁻¹⁴，100℃时约为55×10⁻¹⁴。
F300 溶度积的气压依赖性：遵循亨利定律，气体溶解度与液面上该气体的分压成正比。
F301 粘度压力依赖性：在约100MPa时达到最低值，之后随压力增加而增大。
F302 折射率温度依赖性：20℃时为1.3330，100℃时为1.3180。
F303 折射率波长依赖性（色散）：随波长减小而增大（正常色散）。
F304 声速温度依赖性：在约74℃时达到最大值约1555m/s。
F305 声速压力依赖性：随压力增大而线性增加，压力系数约0.15m/(s·MPa)。
F306 同位素效应-轻水与重水性质对比：重水密度、冰点、沸点、粘度均与轻水显著不同。
F307 水合离子半径-斯托克斯半径：离子半径越小，水合层越紧密，斯托克斯半径越大。
F308 电导率温度系数：从25℃到55℃，纯水电导率从0.055μS/cm上升到约0.17μS/cm。
F309 超纯水电阻率理论极限：25℃时的理论电阻率为18.24MΩ·cm。
F310 蒸发焓与温度：随温度升高而减小，在临界点处降为零。
F311 凝固点降低常数：1.86K·kg/mol，是测定溶质分子量的经典方法。
F312 沸点升高常数：0.512K·kg/mol。
F313 渗透压公式：Π=iCRT，是理解生物体内水平衡的基础。
F314 雷诺数与流态转换：Re<2300为层流，Re>4000为湍流。
F315 老子《道德经》第八章："上善若水。水善利万物而不争，处众人之所恶，故几于道。"水被视为道的最高象征。
F316 古希腊哲学家泰勒斯提出"水是万物的本原（Arche）"，这是西方哲学史上第一个本体论命题。
F317 孔子在川上曰："逝者如斯夫，不舍昼夜。"以水的流动比喻时间的流逝与生命的不可逆。
F318 赫拉克利特提出"人不能两次踏进同一条河流"，以水的流动阐释万物皆流的哲学思想。
F319 平静：无风状态下平静的水面，在跨文化心理学中普遍与"内心平静"、"安宁"的情绪对应。
F320 恐惧：洪水在人类集体无意识中是"天罚"和"灭世"的象征，引发终极恐惧。
F321 悲伤：雨水在文学和电影中常被用作"悲伤"情绪的视觉隐喻，与泪水在物理形态上相似。
F322 敬畏：面对无边无际的狂暴大海时产生的"崇高感"（Sublime），融合了恐惧与敬畏。
F323 大禹治水"三过家门而不入"，成功疏导洪水，成为夏朝奠基者，代表人类改造自然的终极象征。
F324 《圣经·创世纪》中，神为清洗地上罪恶而降下四十昼夜的大洪水，诺亚建造方舟成为人类文明重启的关键。
F325 恒河被视为从湿婆头发流下的圣河，被认为能洗涤一切罪孽，是印度教徒的最高愿望。
F326 耶稣在约旦河受洗，使洗礼成为基督教最核心的入教仪式，水象征着洗净原罪、获得新生。
F327 五行中，水代表"润下"——滋润、向下、寒冷、闭藏的特性。方位为北，季节为冬。
F328 五行相生：水生木（水能滋养树木生长）；金生水（金属遇冷凝结水珠）。
F329 五行相克：水克火（水能灭火）；土克水（土能阻挡和吸收水）。
F330 中医里，肾属水，主水液代谢，藏精，主骨生髓，开窍于耳，其志为恐。
F331 墨家"名实"论："所以谓，名也；所谓，实也。""水"之名指称一切H₂O实体。
F332 墨家"三表法"验证"水能灭火"：上本之古者圣王之事、下原察百姓耳目之实、废以为刑政观其利，三表皆合。
F333 墨家"辟"法（譬喻）：老子以"上善若水"譬喻道，孙子以水喻兵。
F334 墨家"侔"法（平行比照）："水"与"火"构成最经典的对举概念。
F335 因明学区分"自相"与"共相"。某杯水的冷热是"自相"，一切水共有的"湿性"是"共相"。
F336 因明"宗因喻"三支：立"宗"——水是生命必需；举"因"——凡生命必需之物代谢不可离；列"同喻"——人体缺水三日则亡。
F337 因明"现量"与"比量"：触摸水的湿润是"现量"；由化学式推知能电解是"比量"。
F338 五行中，水代表"润下"。方位为北，季节为冬，五色为黑，五味为咸，五音为羽。
